date_time	Rg
2023-05-17 16:00:00	194.5336
2023-05-17 16:05:00	173.6624
2023-05-17 16:10:00	178.7069
2023-05-17 16:15:00	142.1951
2023-05-17 16:20:00	136.3021
2023-05-17 16:25:00	603.4264
2023-05-17 16:30:00	701.1875
2023-05-17 16:35:00	692.0988
2023-05-17 16:40:00	126.4075
2023-05-17 16:45:00	672.8861
2023-05-17 16:50:00	651.6972
2023-05-17 16:55:00	645.9805
2023-05-17 17:00:00	633.3644
2023-05-17 17:05:00	623.1224
2023-05-17 17:10:00	609.4672
2023-05-17 17:15:00	597.361
2023-05-17 17:20:00	615.0285
2023-05-17 17:25:00	615.533
2023-05-17 17:30:00	156.1496
2023-05-17 17:35:00	339.8987
2023-05-17 17:40:00	165.5706
2023-05-17 17:45:00	182.8935
2023-05-17 17:50:00	456.1407
2023-05-17 17:55:00	545.5013
2023-05-17 18:00:00	337.6971
2023-05-17 18:05:00	539.11
2023-05-17 18:10:00	255.5892
2023-05-17 18:15:00	531.7161
2023-05-17 18:20:00	553.9241
2023-05-17 18:25:00	538.638
2023-05-17 18:30:00	523.1545
2023-05-17 18:35:00	404.1862
2023-05-17 18:40:00	218.0832
2023-05-17 18:45:00	399.8051
2023-05-17 18:50:00	382.6472
2023-05-17 18:55:00	338.8967
2023-05-17 19:00:00	309.291
2023-05-17 19:05:00	94.35626
2023-05-17 19:10:00	85.2428
2023-05-17 19:15:00	84.69297
2023-05-17 19:20:00	241.1382
2023-05-17 19:25:00	74.3959
2023-05-17 19:30:00	93.47353
2023-05-17 19:35:00	185.7775
2023-05-17 19:40:00	62.36655
2023-05-17 19:45:00	138.495
2023-05-17 19:50:00	148.419
2023-05-17 19:55:00	132.5995
2023-05-17 20:00:00	112.7534
2023-05-17 20:05:00	108.4049
2023-05-17 20:10:00	90.82598
2023-05-17 20:15:00	73.54649
2023-05-17 20:20:00	56.41817
2023-05-17 20:25:00	29.60229
2023-05-17 20:30:00	21.87342
2023-05-17 20:35:00	18.60472
2023-05-17 20:40:00	16.18937
2023-05-17 20:45:00	11.03723
2023-05-17 20:50:00	7.910865
2023-05-17 20:55:00	5.016832
2023-05-17 21:00:00	3.086336
2023-05-17 21:05:00	1.806689
2023-05-17 21:10:00	1.035514
2023-05-17 21:15:00	0.5587516
2023-05-17 21:20:00	0.2576335
2023-05-17 21:25:00	0.1087418
2023-05-17 21:30:00	0.04182393
2023-05-17 21:35:00	0.01505691
2023-05-17 21:40:00	0.006691937
2023-05-17 21:45:00	0.00167301
2023-05-17 21:50:00	0.001673024
2023-05-17 21:55:00	0.001673056
2023-05-17 22:00:00	0
2023-05-17 22:05:00	0
2023-05-17 22:10:00	0
2023-05-17 22:15:00	0
2023-05-17 22:20:00	0
2023-05-17 22:25:00	0
2023-05-17 22:30:00	0
2023-05-17 22:35:00	0
2023-05-17 22:40:00	0
2023-05-17 22:45:00	0
2023-05-17 22:50:00	0.001673107
2023-05-17 22:55:00	0
2023-05-17 23:00:00	0.001673092
2023-05-17 23:05:00	0
2023-05-17 23:10:00	0
2023-05-17 23:15:00	0
2023-05-17 23:20:00	0
2023-05-17 23:25:00	0.001673128
2023-05-17 23:30:00	0
2023-05-17 23:35:00	0
2023-05-17 23:40:00	0
2023-05-17 23:45:00	0.001673097
2023-05-17 23:50:00	0
2023-05-17 23:55:00	0
2023-05-18	0
2023-05-18 00:05:00	0
2023-05-18 00:10:00	-0.001673141
2023-05-18 00:15:00	0
2023-05-18 00:20:00	0
2023-05-18 00:25:00	0
2023-05-18 00:30:00	0
2023-05-18 00:35:00	0
2023-05-18 00:40:00	0
2023-05-18 00:45:00	0
2023-05-18 00:50:00	0.001673139
2023-05-18 00:55:00	0
2023-05-18 01:00:00	0
2023-05-18 01:05:00	0
2023-05-18 01:10:00	0
2023-05-18 01:15:00	0
2023-05-18 01:20:00	0
2023-05-18 01:25:00	0
2023-05-18 01:30:00	0
2023-05-18 01:35:00	0
2023-05-18 01:40:00	0
2023-05-18 01:45:00	0
2023-05-18 01:50:00	0
2023-05-18 01:55:00	0
2023-05-18 02:00:00	0
2023-05-18 02:05:00	0
2023-05-18 02:10:00	0
2023-05-18 02:15:00	0
2023-05-18 02:20:00	0
2023-05-18 02:25:00	0
2023-05-18 02:30:00	0
2023-05-18 02:35:00	0
2023-05-18 02:40:00	0
2023-05-18 02:45:00	0
2023-05-18 02:50:00	0
2023-05-18 02:55:00	0
2023-05-18 03:00:00	0
2023-05-18 03:05:00	0
2023-05-18 03:10:00	0
2023-05-18 03:15:00	0
2023-05-18 03:20:00	0
2023-05-18 03:25:00	0
2023-05-18 03:30:00	0
2023-05-18 03:35:00	0
2023-05-18 03:40:00	0
2023-05-18 03:45:00	0
2023-05-18 03:50:00	0
2023-05-18 03:55:00	0
2023-05-18 04:00:00	0
2023-05-18 04:05:00	0
2023-05-18 04:10:00	0
2023-05-18 04:15:00	0
2023-05-18 04:20:00	0
2023-05-18 04:25:00	0
2023-05-18 04:30:00	0
2023-05-18 04:35:00	0
2023-05-18 04:40:00	0
2023-05-18 04:45:00	0
2023-05-18 04:50:00	0
2023-05-18 04:55:00	0
2023-05-18 05:00:00	0
2023-05-18 05:05:00	0
2023-05-18 05:10:00	0
2023-05-18 05:15:00	0
2023-05-18 05:20:00	0
2023-05-18 05:25:00	0
2023-05-18 05:30:00	0.001673506
2023-05-18 05:35:00	0.003346894
2023-05-18 05:40:00	0.01004062
2023-05-18 05:45:00	0.02342894
2023-05-18 05:50:00	0.06024484
2023-05-18 05:55:00	0.1589795
