,Iq,If,It,Isp,Is,mean_irradiance,mean_shading,cluster,row,col
0,0.601085912514163,0.35826940486968123,76.2576064908722,0.7988948968465618,0.23077852501789375,345.2163303942156,0.23170592378136337,1,23,20
1,0.6440960427711604,0.349716491161195,72.59643916913947,0.8136754692811269,0.20883745258422895,343.4817752539505,0.2287042143497785,1,27,14
2,0.5075368809002861,0.3986515461952637,101.53519417475728,0.7792762530536594,0.20296217408260805,350.1672360683059,0.20111704867740215,1,27,26
3,0.6418476567095031,0.34885881736312957,74.10425101214575,0.810162399129226,0.2060926806725378,341.3475968120931,0.22968897181610368,1,28,14
4,0.5021599062115402,0.3969123743269643,99.5221027479092,0.7763429381789583,0.20184378873378286,347.3876539719183,0.20453037861804682,1,28,26
5,0.6432625058111209,0.3494305998951732,72.03831041257368,0.8059607896696339,0.21921286750643307,336.93792715815925,0.23762782910536367,1,29,14
6,0.5020338322051203,0.3969361985991328,95.97350230414746,0.7699653852703041,0.21329049915162648,343.7481532795964,0.2099750607894275,1,29,26
7,0.6390555768889808,0.35595845046933816,74.77977977977977,0.7877637885314982,0.2310099079703907,333.0653989364324,0.2417715745338629,1,30,14
8,0.5003078492608043,0.40255872683089533,96.77548682703322,0.7525294371860403,0.22777440127605125,338.91545660632596,0.2178060729441869,1,30,26
9,0.6432632734384678,0.35464811550007147,72.19204655674103,0.8145210366687973,0.2423257378405754,339.88224079349186,0.2483650393949332,1,38,20
10,0.6770681239070253,0.34614285033592224,79.30676855895196,0.8364247962264906,0.20022654074908308,348.684149685522,0.2168756968456799,1,42,14
11,0.5202120099149098,0.3968647257826273,106.23724489795919,0.7959731473804057,0.19390730630215663,355.11765990393667,0.19084281462646943,1,42,26
12,0.6780261389876011,0.34333158622004095,78.66266375545851,0.8365934316930537,0.18869396141706601,350.852842694012,0.21105972192700387,1,43,14
13,0.5189505580438031,0.39593557916805644,104.65365239294711,0.7944178446753775,0.18167518360473064,356.80773707768424,0.18607926413672893,1,43,26
14,0.6866578971948002,0.3397102968504312,78.26015367727771,0.8344504019787584,0.19445776020031397,350.62704059893076,0.2146471843806218,1,44,14
15,0.5256350425427757,0.3954352694525182,105.18377693282636,0.7917504313925806,0.18273007448176948,357.56098386481307,0.18584135399907226,1,44,26
16,0.6813834664146181,0.344903988183161,82.82036613272311,0.8240707226542204,0.20311944834534573,352.97359004139184,0.2097327634429542,1,45,14
17,0.527998791444499,0.3978653452137037,109.29319371727749,0.7893589186029475,0.19725623924063207,357.711315497217,0.18870017534679295,1,45,26
18,0.6411493768039704,0.3518130271120217,75.57318321392016,0.8331041454431417,0.23627386143893322,342.2312214758858,0.24076864418055166,1,53,20
19,0.6536384344285632,0.3466669843236289,75.00515463917526,0.8142998866674469,0.2147228341922628,342.68803260818186,0.23067299098682018,1,57,14
