,site,date,sensor,r_intercepted
95,total,2023-03-16 23:30:00+01:00,1,0.0
96,total,2023-03-19 00:00:00+01:00,1,0.0
97,total,2023-03-19 00:30:00+01:00,1,0.0
98,total,2023-03-19 01:00:00+01:00,1,0.0
99,total,2023-03-19 01:30:00+01:00,1,0.0
100,total,2023-03-19 02:00:00+01:00,1,0.0
101,total,2023-03-19 02:30:00+01:00,1,0.0
102,total,2023-03-19 03:00:00+01:00,1,0.0
103,total,2023-03-19 03:30:00+01:00,1,0.0
104,total,2023-03-19 04:00:00+01:00,1,0.0
105,total,2023-03-19 04:30:00+01:00,1,0.0
106,total,2023-03-19 05:00:00+01:00,1,0.0
107,total,2023-03-19 05:30:00+01:00,1,0.9095953125
108,total,2023-03-19 06:00:00+01:00,1,10.187471354166668
109,total,2023-03-19 06:30:00+01:00,1,47.48089322916667
110,total,2023-03-19 07:00:00+01:00,1,83.50088229166667
111,total,2023-03-19 07:30:00+01:00,1,77.86138489583334
112,total,2023-03-19 08:00:00+01:00,1,254.14107656250002
113,total,2023-03-19 08:30:00+01:00,1,234.12992135416673
114,total,2023-03-19 09:00:00+01:00,1,394.27420312500004
115,total,2023-03-19 09:30:00+01:00,1,327.6956875
116,total,2023-03-19 10:00:00+01:00,1,506.4730328125
117,total,2023-03-19 10:30:00+01:00,1,355.0662359375
118,total,2023-03-19 11:00:00+01:00,1,396.9475265625
119,total,2023-03-19 11:30:00+01:00,1,381.3948786458334
120,total,2023-03-19 12:00:00+01:00,1,269.3404036458333
121,total,2023-03-19 12:30:00+01:00,1,709.7116786458333
122,total,2023-03-19 13:00:00+01:00,1,410.57608958333327
123,total,2023-03-19 13:30:00+01:00,1,366.81342135416674
124,total,2023-03-19 14:00:00+01:00,1,330.15621458333334
125,total,2023-03-19 14:30:00+01:00,1,518.92875
126,total,2023-03-19 15:00:00+01:00,1,445.8891234375001
127,total,2023-03-19 15:30:00+01:00,1,41.84139583333334
128,total,2023-03-19 16:00:00+01:00,1,198.5452572916667
129,total,2023-03-19 16:30:00+01:00,1,104.05773697916666
130,total,2023-03-19 17:00:00+01:00,1,48.688201041666666
131,total,2023-03-19 17:30:00+01:00,1,18.1919125
132,total,2023-03-19 18:00:00+01:00,1,0.7276765625
133,total,2023-03-19 18:30:00+01:00,1,0.0
134,total,2023-03-19 19:00:00+01:00,1,0.0
135,total,2023-03-19 19:30:00+01:00,1,0.0
136,total,2023-03-19 20:00:00+01:00,1,0.0
137,total,2023-03-19 20:30:00+01:00,1,0.0
138,total,2023-03-19 21:00:00+01:00,1,0.0
139,total,2023-03-19 21:30:00+01:00,1,0.0
140,total,2023-03-19 22:00:00+01:00,1,0.0
141,total,2023-03-19 22:30:00+01:00,1,0.0
142,total,2023-03-19 23:00:00+01:00,1,0.0
143,total,2023-03-19 23:30:00+01:00,1,0.0
144,total,2023-03-21 00:00:00+01:00,1,0.0
145,total,2023-03-21 00:30:00+01:00,1,0.0
146,total,2023-03-21 01:00:00+01:00,1,0.0
147,total,2023-03-21 01:30:00+01:00,1,0.0
148,total,2023-03-21 02:00:00+01:00,1,0.0
149,total,2023-03-21 02:30:00+01:00,1,0.0
150,total,2023-03-21 03:00:00+01:00,1,0.0
151,total,2023-03-21 03:30:00+01:00,1,0.0
152,total,2023-03-21 04:00:00+01:00,1,0.0
153,total,2023-03-21 04:30:00+01:00,1,0.0
154,total,2023-03-21 05:00:00+01:00,1,0.0
155,total,2023-03-21 05:30:00+01:00,1,2.5468677083333335
156,total,2023-03-21 06:00:00+01:00,1,29.652817708333334
157,total,2023-03-21 06:30:00+01:00,1,100.41935885416669
158,total,2023-03-21 07:00:00+01:00,1,184.2184942708333
159,total,2023-03-21 07:30:00+01:00,1,235.11799947916668
160,total,2023-03-21 08:00:00+01:00,1,284.64158385416664
161,total,2023-03-21 08:30:00+01:00,1,436.73065520833336
162,total,2023-03-21 09:00:00+01:00,1,317.4488703125
163,total,2023-03-21 09:30:00+01:00,1,349.77574375000006
164,total,2023-03-21 10:00:00+01:00,1,448.5321203125
165,total,2023-03-21 10:30:00+01:00,1,539.8828505208334
166,total,2023-03-21 11:00:00+01:00,1,307.62524583333334
167,total,2023-03-21 11:30:00+01:00,1,345.8282625
168,total,2023-03-21 12:00:00+01:00,1,458.54619322916665
169,total,2023-03-21 12:30:00+01:00,1,392.22359635416666
170,total,2023-03-21 13:00:00+01:00,1,454.135275
171,total,2023-03-21 13:30:00+01:00,1,526.1583484375001
172,total,2023-03-21 14:00:00+01:00,1,395.1255322916667
173,total,2023-03-21 14:30:00+01:00,1,280.51929427083337
174,total,2023-03-21 15:00:00+01:00,1,361.12740833333334
175,total,2023-03-21 15:30:00+01:00,1,340.4235041666667
176,total,2023-03-21 16:00:00+01:00,1,473.72854531250005
177,total,2023-03-21 16:30:00+01:00,1,327.2820630208334
178,total,2023-03-21 17:00:00+01:00,1,43.03734895833333
179,total,2023-03-21 17:30:00+01:00,1,22.24267916666667
180,total,2023-03-21 18:00:00+01:00,1,1.2734338541666668
181,total,2023-03-21 18:30:00+01:00,1,0.0
182,total,2023-03-21 19:00:00+01:00,1,0.0
183,total,2023-03-21 19:30:00+01:00,1,0.0
184,total,2023-03-21 20:00:00+01:00,1,0.0
185,total,2023-03-21 20:30:00+01:00,1,0.0
186,total,2023-03-21 21:00:00+01:00,1,0.0
187,total,2023-03-21 21:30:00+01:00,1,0.0
188,total,2023-03-21 22:00:00+01:00,1,0.0
189,total,2023-03-21 22:30:00+01:00,1,0.0
190,total,2023-03-21 23:00:00+01:00,1,0.0
191,total,2023-03-21 23:30:00+01:00,1,0.0
192,total,2023-04-04 00:00:00+02:00,1,0.0
193,total,2023-04-04 00:30:00+02:00,1,0.0
194,total,2023-04-04 01:00:00+02:00,1,0.0
195,total,2023-04-04 01:30:00+02:00,1,0.0
196,total,2023-04-04 02:00:00+02:00,1,0.0
197,total,2023-04-04 02:30:00+02:00,1,0.0
198,total,2023-04-04 03:00:00+02:00,1,0.0
199,total,2023-04-04 03:30:00+02:00,1,0.0
200,total,2023-04-04 04:00:00+02:00,1,0.0
201,total,2023-04-04 04:30:00+02:00,1,0.0
202,total,2023-04-04 05:00:00+02:00,1,4.366058854166667
203,total,2023-04-04 05:30:00+02:00,1,61.30674479166667
204,total,2023-04-04 06:00:00+02:00,1,194.65346302083333
205,total,2023-04-04 06:30:00+02:00,1,356.37955677083335
206,total,2023-04-04 07:00:00+02:00,1,526.1101406250001
207,total,2023-04-04 07:30:00+02:00,1,666.315428125
208,total,2023-04-04 08:00:00+02:00,1,83.70271093750002
209,total,2023-04-04 08:30:00+02:00,1,79.9138859375
210,total,2023-04-04 09:00:00+02:00,1,83.83549843750001
211,total,2023-04-04 09:30:00+02:00,1,88.95272031249999
212,total,2023-04-04 10:00:00+02:00,1,1360.4449588541668
213,total,2023-04-04 10:30:00+02:00,1,1439.3997828125002
214,total,2023-04-04 11:00:00+02:00,1,1481.4219791666665
215,total,2023-04-04 11:30:00+02:00,1,1509.3624114583333
216,total,2023-04-04 12:00:00+02:00,1,1475.4775364583334
217,total,2023-04-04 12:30:00+02:00,1,1461.3562901041666
218,total,2023-04-04 13:00:00+02:00,1,1381.1299645833333
219,total,2023-04-04 13:30:00+02:00,1,1305.5056255208335
220,total,2023-04-04 14:00:00+02:00,1,1194.3627041666668
221,total,2023-04-04 14:30:00+02:00,1,1080.8902109375001
222,total,2023-04-04 15:00:00+02:00,1,926.6331354166666
223,total,2023-04-04 15:30:00+02:00,1,791.4381026041667
224,total,2023-04-04 16:00:00+02:00,1,604.1228291666666
225,total,2023-04-04 16:30:00+02:00,1,443.7882739583333
226,total,2023-04-04 17:00:00+02:00,1,274.333540625
227,total,2023-04-04 17:30:00+02:00,1,119.5111078125
228,total,2023-04-04 18:00:00+02:00,1,15.119074479166668
229,total,2023-04-04 18:30:00+02:00,1,0.5457572916666666
230,total,2023-04-04 19:00:00+02:00,1,0.0
231,total,2023-04-04 19:30:00+02:00,1,0.0
232,total,2023-04-04 20:00:00+02:00,1,0.0
233,total,2023-04-04 20:30:00+02:00,1,0.0
234,total,2023-04-04 21:00:00+02:00,1,0.0
235,total,2023-04-04 21:30:00+02:00,1,0.0
236,total,2023-04-04 22:00:00+02:00,1,0.0
237,total,2023-04-04 22:30:00+02:00,1,0.0
238,total,2023-04-04 23:00:00+02:00,1,0.0
239,total,2023-04-04 23:30:00+02:00,1,0.0
240,total,2023-04-05 00:00:00+02:00,1,0.0
241,total,2023-04-05 00:30:00+02:00,1,0.0
242,total,2023-04-05 01:00:00+02:00,1,0.0
243,total,2023-04-05 01:30:00+02:00,1,0.0
244,total,2023-04-05 02:00:00+02:00,1,0.0
245,total,2023-04-05 02:30:00+02:00,1,0.0
246,total,2023-04-05 03:00:00+02:00,1,0.0
247,total,2023-04-05 03:30:00+02:00,1,0.0
248,total,2023-04-05 04:00:00+02:00,1,0.0
249,total,2023-04-05 04:30:00+02:00,1,0.0
250,total,2023-04-05 05:00:00+02:00,1,6.9129265625
251,total,2023-04-05 05:30:00+02:00,1,70.0388671875
252,total,2023-04-05 06:00:00+02:00,1,191.19699791666667
