"Coord","Col","Row","group_clearsky","dist_to_center","center_group","Rep","Zone","Selected"
11.026,26,11,"4",21.9968509399816,"no",1,"Sampling","no"
11.027,27,11,"4",24.6636948977041,"no",1,"Sampling","no"
11.028,28,11,"4",32.4876413168366,"no",1,"Sampling","no"
11.029,29,11,"1",31.8155703175834,"no",1,"Sampling","no"
11.03,30,11,"1",32.6921792042193,"no",1,"Sampling","no"
11.031,31,11,"3",34.7818137798839,"no",1,"Sampling","no"
11.032,32,11,"3",23.805068633962,"no",1,"Sampling","no"
11.033,33,11,"3",21.5453812162442,"no",1,"Sampling","no"
11.034,34,11,"3",27.1393418693173,"no",1,"Sampling","no"
11.038,38,11,"4",27.3733207629699,"no",2,"Harvest","no"
11.039,39,11,"4",21.231935544952,"no",2,"Harvest","no"
11.04,40,11,"4",9.10075942307062,"no",2,"Harvest","selected"
11.041,41,11,"4",21.1870458019564,"no",2,"Harvest","no"
11.042,42,11,"4",24.096297405628,"no",2,"Harvest","no"
11.043,43,11,"4",32.311193653645,"no",2,"Harvest","no"
11.044,44,11,"1",32.1210146080553,"no",2,"Harvest","no"
11.045,45,11,"1",32.732893239269,"no",2,"Harvest","no"
11.046,46,11,"3",34.5246277303011,"no",2,"Harvest","no"
11.047,47,11,"3",22.7735012693293,"no",2,"Harvest","no"
11.048,48,11,"3",21.0372566091104,"no",2,"Harvest","no"
11.049,49,11,"3",25.715988450168,"no",2,"Harvest","no"
11.053,53,11,"4",27.0297043914022,"no",3,"Sampling","no"
11.054,54,11,"4",21.4724801763399,"no",3,"Sampling","no"
11.055,55,11,"4",8.14744395793968,"no",3,"Sampling","selected"
11.056,56,11,"4",22.1921466721005,"no",3,"Sampling","no"
11.057,57,11,"4",24.975462183221,"no",3,"Sampling","no"
11.058,58,11,"4",32.5650046657351,"no",3,"Sampling","no"
11.059,59,11,"1",31.8389358963286,"no",3,"Sampling","no"
11.06,60,11,"1",32.8623106562902,"no",3,"Sampling","no"
11.061,61,11,"3",34.6192696153737,"no",3,"Sampling","no"
11.062,62,11,"3",23.7365524837405,"no",3,"Sampling","no"
11.063,63,11,"3",21.4963077195254,"no",3,"Sampling","no"
11.064,64,11,"3",27.1097296679309,"no",3,"Sampling","no"
11.068,68,11,"4",27.5874866428805,"no",4,"Harvest","no"
11.069,69,11,"4",21.6194655879284,"no",4,"Harvest","no"
11.07,70,11,"4",9.93334970721893,"no",4,"Harvest","selected"
11.071,71,11,"4",21.434563295566,"no",4,"Harvest","no"
11.072,72,11,"4",24.0970903342512,"no",4,"Harvest","no"
11.073,73,11,"4",32.2688055872877,"no",4,"Harvest","no"
11.074,74,11,"1",31.5086074554191,"no",4,"Harvest","no"
11.075,75,11,"1",32.2066272986256,"no",4,"Harvest","no"
11.076,76,11,"3",34.3446194559771,"no",4,"Harvest","no"
11.077,77,11,"3",22.6171361067519,"no",4,"Harvest","no"
12.023,23,12,"4",29.3391504627346,"no",1,"Sampling","no"
12.024,24,12,"4",25.130421058427,"no",1,"Sampling","no"
12.025,25,12,"4",18.0529809876016,"no",1,"Sampling","selected"
12.026,26,12,"4",27.5839783674284,"no",1,"Sampling","no"
12.027,27,12,"4",28.8630391699058,"no",1,"Sampling","no"
12.028,28,12,"1",29.6114792282093,"no",1,"Sampling","no"
12.029,29,12,"1",27.3371769990846,"no",1,"Sampling","no"
12.03,30,12,"1",28.7605226109839,"no",1,"Sampling","no"
12.031,31,12,"3",31.7748141242882,"no",1,"Sampling","no"
12.032,32,12,"3",12.610193626725,"no",1,"Sampling","selected"
12.033,33,12,"3",13.4195856293823,"no",1,"Sampling","selected"
12.034,34,12,"3",19.0691145365979,"no",1,"Sampling","no"
12.038,38,12,"4",28.4424533572261,"no",2,"Harvest","no"
12.039,39,12,"4",24.499786956119,"no",2,"Harvest","no"
12.04,40,12,"4",18.53560805942,"no",2,"Harvest","selected"
12.041,41,12,"4",27.2307698897368,"no",2,"Harvest","no"
12.042,42,12,"4",28.6384102017037,"no",2,"Harvest","no"
12.043,43,12,"1",29.6255162549982,"no",2,"Harvest","no"
12.044,44,12,"1",27.8507228128648,"no",2,"Harvest","no"
12.045,45,12,"1",28.472541200347,"no",2,"Harvest","no"
12.046,46,12,"3",30.6483688421503,"no",2,"Harvest","no"
12.047,47,12,"3",12.2147529178525,"no",2,"Harvest","selected"
12.048,48,12,"3",11.2494693845631,"no",2,"Harvest","selected"
12.049,49,12,"3",18.2471807734874,"no",2,"Harvest","no"
12.053,53,12,"4",29.4682934561211,"no",3,"Sampling","no"
12.054,54,12,"4",25.2770140736018,"no",3,"Sampling","no"
